MANUAL,SKILL
Programming Fundamentals,Arrays
Programming Fundamentals,Artificial Intelligence algorithms
Software Development,ask clarifying questions
Cyber Crime and Law,Assemble an authorization package and submit the package to an authorizing official for adjudication
Data Security,Assess adequate access controls based on principles of least privilege and need-to-know
Information Technology and Forensics,Assess all the configuration management (change configuration/release management) processes
Cyber Threats,Assess all-source intelligence and recommend targets to support cyber operation objectives
Cyber Threats,Assess and apply operational environment factors and risks to collection management process
Cyber Threats,Assess and design security management functions as related to cyberspace
Analysis,assess and forecast manpower requirements to meet organizational objectives
Cybersecurity Foundations,Assess and monitor cybersecurity related to system implementation and testing practices
Education/Teaching,"Assess effectiveness and efficiency of instruction according to ease of instructional technology use and student learning, knowledge transfer, and satisfaction"
Information Technology and Forensics,Assess efficiency of existing information exchange and management systems
Data Mining,Assess performance of collection assets against prescribed specifications
Cyber Crime and Law,Assess policy needs and collaborate with stakeholders to develop policies to govern cyber activities
Cyber Threats,Assess target vulnerabilities and/or operational capabilities to determine course of action
Cyber Crime and Law,"Assess the behavior of the individual victim, witness, or suspect as it relates to the investigation"
Data Mining,"Assess the effectiveness of collections in satisfying priority information gaps, using available capabilities and methods, and adjust collection strategies and collection requirements accordingly"
Cybersecurity Foundations,Assess the effectiveness of cybersecurity measures utilized by system(s)
Data Security,Assess the effectiveness of security controls
Communication Architecture and Security,Assess the security controls employed within and inherited by the system in accordance with an organization-defined monitoring strategy
Data Security,Assess the security controls in accordance with the assessment procedures defined in a security assessment plan
Data Mining,Assess the validity of source data and subsequent findings
Cyber Threats,Assess threats to and vulnerabilities of computer system(s) to develop a security risk profile
Analysis,"Assess, document, and apply a target's motivation and/or frame of reference to facilitate analysis, targeting and collection opportunities"
Communication Architecture and Security,assesses a security plan to help ensure that the plan provides a set of security controls for the system that meet the stated security requirements
Cybersecurity Foundations,"assessing a target's frame of reference (eg, motivation, technical capability, organizational structure, sensitivities)"
Cyber Threats,assessing and/or estimating effects generated during and after cyber operations
Analysis,assessing current tools to identify needed improvements
Cybersecurity Foundations,"assessing security controls based on cybersecurity principles and tenets (eg, CIS CSC, NIST SP 800-53, Cybersecurity Framework, etc)"
Communication Architecture and Security,assessing security systems designs
Analysis,assessing the applicability of available analytical tools to various situations
Encryption and Cryptography,assessing the application of cryptographic standards
Analysis,assessing the predictive power and subsequent generalizability of a model
Communication Architecture and Security,assessing the robustness of security systems and designs
Data Security,"asset availability, capabilities and limitations"
Analysis,Assign staff as needed to appropriate continuous monitoring working groups
Education/Teaching,Assist and advise interagency partners in identifying and developing best practices for facilitating operational support to achievement of organization objectives
Cyber Threats,Assist in assessing the impact of implementing and sustaining a dedicated cyber defense infrastructure
Cyber Threats,"Assist in identifying, prioritizing, and coordinating the protection of critical cyber defense infrastructure and key resources"
Networking,Assist in the construction of signatures which can be implemented on cyber defense network tools in response to new or observed threats within the network environment or enclave
Data Mining,"Assist in the coordination, validation, and management of all-source collection requirements, plans, and/or activities"
Data Security,Assist in the development and refinement of priority information requirements
Education/Teaching,"Assist in the development of individual/collective development, training, and/or remediation plans"
Data Mining,Assist in the identification of intelligence collection shortfalls
Data Security,Assist the Security Officer with the development and implementation of an information infrastructure
Cyber Crime and Law,Assure successful implementation and functionality of security requirements and appropriate information technology (IT) policies and procedures that are consistent with the organization's mission and goals
Data Mining,"Assure that the use of technologies maintains, and does not erode, privacy protections on use, collection and disclosure of personal information"
Database Systems,"attack methods and techniques (DDoS, brute force, spoofing, phishing, man-in-the-middle, sql injection, apt, zero-day exploit, etc)"
Cyber Threats,Attack Surface Discovery
Cyber Threats,"Attack surfaces / vectors, and trees "
Cyber Threats,Attack Timing (within x minutes of being attached to the net)
Cyber Threats,Attack Vectors
Cyber Threats,Attacking Application Logic
Cyber Crime and Law,Audit process Audit Activities
Cyber Crime and Law,Audit process Audit Baseline
Cyber Crime and Law,Audit process Audit Charter
Cyber Crime and Law,"Audit process Audit Reporting (Results(Findings), Recommendations)"
Cyber Crime and Law,Audit process Response (Mitigation Strategy)
Cyber Crime and Law,Audit Purposes Assessment of internal controls
Cyber Crime and Law,"Audit Purposes Compliance to specified requirements, specifications, policy, standards or laws"
Cyber Crime and Law,Audit Purposes Regulatory compliance
Cyber Crime and Law,Audit Types External
Cyber Crime and Law,Audit Types Internal
Networking,"auditing and logging procedures (including server-based logging, user ID, terminal ID, network access)"
Intrusion Detection Systems,"auditing firewalls, perimeters, routers, and intrusion detection systems"
Data Security,Authentication
Cyber Crime and Law,Authentication of Evidence Verification and Validation
Data Security,"authentication, authorization, and access control methods"
Cyber Crime and Law,author a privacy disclosure statement based on current laws
Networking,Automata
Software Development,Automated Reasoning Tools
Data Security,Automated security control assessments
Data Mining,Automatic and manual generation of test inputs
Database Systems,available databases and tools necessary to assess appropriate collection tasking
Data Security,Backup and Restoring Data
Networking,Bandwidth
Programming Fundamentals,Basic Boolean logic/operations AND/OR/XOR/NOT
Programming Fundamentals,Basic Process Modeling
Cyber Threats,Basic Risk Assessment
Database Systems,"basic software applications (eg, data storage and backup, database applications) and the types of vulnerabilities that have been found in those applications"
Networking,"basic system, network, and OS hardening techniques"
Cybersecurity Foundations,Basics of electromagnetic radiation
Programming Fundamentals,"Be familiar with the concept and basic implementation of regular expressions Permissions, bounds checking, input validation, type checking and parameter validation"
Data Security,Bell-LaPadula (as an example formal model)
Software Development,BER
Programming Fundamentals,"Best, worst, and average complexity "
Programming Fundamentals,Best/Worst/Average Case Behavior
Programming Fundamentals,Big O notation
Software Development,Billing/Charging
Analysis,binary analysis
Cybersecurity Foundations,Blackout plans
Programming Fundamentals,Blocking
Programming Fundamentals,Bloom filters
Operating Systems,Bootloader vulnerabilities Boot loader reconfiguration
Operating Systems,Bootloader vulnerabilities Boot sector attacks
Operating Systems,Bootloader vulnerabilities Boot to non-secure OS's
Operating Systems,Bootloader vulnerabilities Single User Mode
Cyber Threats,Brief threat and/or target current situations
Data Security,Broad coverage of different security solutions and product categories and features
Cybersecurity Foundations,Broad coverage of the cybersecurity Common Body of Knowledge (CBK) and how it affects planning and management
Information Technology and Forensics,Buffer Overflows
Networking,Buffers
Operating Systems,Build and maintain electronic target folders
Communication Architecture and Security,build architectures and frameworks
Programming Fundamentals,build complex data structures and high-level programming languages
Cyber Threats,"Build, install, configure, and test dedicated cyber defense hardware"
Programming Fundamentals,"Build, test, and modify product prototypes using working models or theoretical models"
Disaster Management,business continuity and disaster recovery continuity of operations plans
Cyber Crime and Law,"business or military operation plans, concept operation plans, orders, policies, and standing rules of engagement"
Cyber Crime and Law,BYOD issues Other Federal laws and regulations
Programming Fundamentals,Call Arrival Models
Networking,"capabilities and applications of network equipment including routers, switches, bridges, servers, transmission media, and related hardware"
Analysis,capabilities and requirements analysis
Networking,"capabilities, applications, and potential vulnerabilities of network equipment including hubs, routers, switches, bridges, servers, transmission media, and related hardware"
Data Security,Capability Enhancement / Modification Techniques
Networking,Capture and analyze network traffic associated with malicious activities using network monitoring tools
Disaster Management,Capture and integrate essential system capabilities or business functions required for partial or full system restoration after a catastrophic failure event
Communication Architecture and Security,"capture and refine security requirements and ensure that the requirements are effectively integrated into the component products and systems through purposeful security architecting, design, development, and configuration"
Software Development,"Capture security controls used during the requirements phase to integrate security within the process, to identify key security objectives, and to maximize software security while minimizing disruption to plans and schedules"
Data Security,Cascading
Cyber Threats,Case studies of actual cyber operations
Programming Fundamentals,Categories
Communication Architecture and Security,Categorize the system and document the security categorization results as part of system requirements
Cyber Crime and Law,Certification Boards and Panels
Networking,Characterize and analyze network traffic to identify anomalous activity and potential threats to network resources
Networking,Characterize websites
Information Technology and Forensics,"Check system hardware availability, functionality, integrity, and efficiency"
Analysis,circuit analysis
Programming Fundamentals,Classes of Complexity Intractability
Programming Fundamentals,Classes of Complexity P and NP
Analysis,Classical Cryptanalysis (a la Konheim)
Cyber Crime and Law,"classification and control markings standards, policies and procedures"
Data Mining,Classify documents in accordance with classification guidelines
Programming Fundamentals,Clear Interface Semantics
Data Mining,clearly articulate intelligence requirements into well-formulated research questions and data tracking variables for inquiry tracking purposes
Education/Teaching,clearly articulate intelligence requirements into well-formulated research questions and requests for information
Software Development,"client organizations, including information needs, objectives, structure, capabilities, etc"
Networking,Client-Side Controls
Software Development,Close requests for information once satisfied
Networking,Closing Unnecessary/Unneeded Ports
Disaster Management,cloud service models and how those models can limit incident response
Software Development,"Cloud Services SaaS, PaaS, DaaS, IaaS"
Information Technology and Forensics,"Cloud-based knowledge management technologies and concepts related to security, governance, procurement, and administration"
Programming Fundamentals,Coding and Compression
Programming Fundamentals,Coding schemes
Analysis,"Collaborate across internal and/or external organizational lines to enhance collection, analysis and dissemination"
Cybersecurity Foundations,collaborate effectively with others
Data Security,Collaborate on cyber privacy and security policies and procedures
Networking,"Collaborate on cybersecurity designs to meet specific operational needs and environmental factors (eg, access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information)"
Software Development,Collaborate with customer to define information requirements
Cyber Threats,Collaborate with cybersecurity personnel on the security risk assessment process to address privacy compliance and risk mitigation
Education/Teaching,"Collaborate with developers, conveying target and technical knowledge in tool requirements submissions, to enhance tool development"
Software Development,Collaborate with development organizations to create and deploy the tools needed to achieve objectives
Analysis,Collaborate with intelligence analysts/targeting organizations involved in related areas
Cyber Threats,Collaborate with key stakeholders to establish a cybersecurity risk management program
Cyber Threats,"Collaborate with other customer, Intelligence and targeting organizations involved in related cyber areas"
Software Development,Collaborate with other internal and external partner organizations on target access and operational issues
Programming Fundamentals,"Collaborate with other team members or partner organizations to develop a diverse program of information materials (eg, web pages, briefings, print materials)"
Programming Fundamentals,"Collaborate with stakeholders to establish the enterprise continuity of operations program, strategy, and mission assurance"
Software Development,Collaborate with stakeholders to identify and/or develop appropriate solutions technology
Software Development,collaborative tools and environments
Disaster Management,collateral damage and estimating impact(s)
Disaster Management,"Collect and analyze intrusion artifacts (eg, source code, malware, and system configuration) and use discovered data to enable mitigation of potential cyber defense incidents within the enterprise"
Data Mining,Collect and maintain data needed to meet system cybersecurity reporting
Disaster Management,"Collect intrusion artifacts (eg, source code, malware, Trojans) and use discovered data to enable mitigation of potential cyber defense incidents within the enterprise"
Data Mining,Collect metrics and trending data
Data Mining,"collect, verify, and validate test data"
Data Mining,collecting data from a variety of cyber defense resources
Information Technology and Forensics,"collecting, processing, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data"
Data Mining,collection capabilities and limitations
Data Mining,"collection capabilities, accesses, performance specifications, and constraints utilized to satisfy collection plan"
Data Mining,collection disciplines and capabilities
Data Mining,"collection management functionality (eg, positions, functions, responsibilities, products, reporting requirements)"
Data Mining,"collection management processes, capabilities, and limitations"
Data Mining,collection management tools
Data Mining,collection planning process and collection plan
Data Mining,"collection searching/analyzing techniques and tools for chat/buddy list, emerging technologies, VOIP, Media Over IP, VPN, VSAT/wireless, web mail and cookies"
Data Mining,collection sources including conventional and non-conventional sources
Data Mining,collection strategies
Data Mining,"collection systems, capabilities, and processes"
Operating Systems,Command Line Interfaces
Operating Systems,"command-line tools (eg, mkdir, mv, ls, passwd, grep)"
Information Technology and Forensics,Commercial Standards PCI/DSS
Analysis,Common analysis tools and methods
Cyber Threats,Common Attacks
Networking,"common computer/network infections (virus, Trojan, etc) and methods of infection (ports, attachments, etc)"
Encryption and Cryptography,Common cryptographic uses Block vs stream data
Encryption and Cryptography,Common cryptographic uses Digital Signatures (Authentication)
Encryption and Cryptography,"Common cryptographic uses Security Functions (data protection, data integrity, authentication, non-repudiation)"
Networking,"Common Network Devices and their role in the network (Routers, Switches, Hosts, VPNs,
Firewalls) "
Networking,common networking devices and their configurations
Database Systems,common reporting databases and tools
Cyber Threats,Common Vulnerabilities in Critical Infrastructure Systems Treaties
Cybersecurity Foundations,"communicate complex information, concepts, or ideas in a confident and well organized manner through verbal, written, and/or visual means"
Programming Fundamentals,communicate effectively when writing
Cybersecurity Foundations,"Communicate new developments, breakthroughs, challenges and lessons learned to leadership, and internal and external customers"
Information Technology and Forensics,Communicate the value of information technology (IT) security throughout all levels of the organization stakeholders
Information Technology and Forensics,"communicating with all levels of management including Board members (eg, interpersonal skills, approachability, effective listening skills, appropriate use of style and language for the audience)"
Networking,"communication methods, principles, and concepts that support the network infrastructure"
Cyber Threats,Communication of Risk
Data Mining,Compare allocated and available assets to collection demand as expressed through requirements
Data Security,Compare and contrast the security of alternative designs
Programming Fundamentals,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program"
Data Mining,Compile lessons learned from collection management activity's execution of organization collection objectives
Programming Fundamentals,"Compile, assemble, and link object files to create working programs "
Cyber Threats,"Compile, integrate, and/or interpret all-source data for intelligence or vulnerability value with respect to specific targets"
Data Security,Complete Mediation
Programming Fundamentals,complex data structures
Communication Architecture and Security,Complexity measures communications
Analysis,Complexity measures numbers of processors
Analysis,Complexity measures time and storage
Analysis,Compliance Monitoring Compliance levels
Disaster Management,Compliance Training
Operating Systems,Comply with organization systems administration standard operating procedures
Cyber Crime and Law,complying with the legal restrictions for targeted information
Communication Architecture and Security,Components of a digital communications system
Cyber Crime and Law,Components of the C&A Process
Data Security,Composition and Security
Programming Fundamentals,Computability and non-computability
Programming Fundamentals,Computational Complexity
Programming Fundamentals,computer algorithms
Education/Teaching,computer based training and e-learning services
Networking,"computer networking concepts and protocols, and network security methodologies"
Networking,"computer networking fundamentals (ie, basic computer components of a network, types of networks, etc)"
Programming Fundamentals,"computer programming concepts, including computer languages, programming, testing, debugging, and file types"
Programming Fundamentals,computer programming principles
Data Security,Concealment
Programming Fundamentals,Concept of Formal Methods
Information Technology and Forensics,concepts and practices of processing digital forensic data
Networking,"concepts related to websites (eg, web servers/pages, hosting, DNS, registration, web languages such as HTML, Javascript, CSS)"
Networking,"concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless)"
Programming Fundamentals,"Concurrency and Synchronization, Deadlocks "
Operating Systems,"conduct a comprehensive assessment of the management, operational, and technical security controls and control enhancements employed within or inherited by a system to determine the effectiveness of the controls (ie, the extent to which the security controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting the security requirements for the system)"
Analysis,"Conduct a market analysis to identify, assess, and recommend commercial, Government off-the-shelf, and open source products for use within a system and ensure recommended products are in compliance with organization's evaluation and validation requirements"
Communication Architecture and Security,Conduct a second-level security categorization for organizational systems with the same impact level
Networking,Conduct access enabling of wireless computer and digital networks
Programming Fundamentals,Conduct all-source target research to include the use of open source materials in the target language
Cyber Threats,Conduct an initial risk assessment of stakeholder assets and update the risk assessment on an ongoing basis
Analysis,"Conduct analysis of log files, evidence, and other information to determine best methods for identifying the perpetrator(s) of a network intrusion"
Analysis,"Conduct analysis of log files, evidence, and other information to determine best methods for identifying the perpetrator(s) of a network intrusion or other crimes"
Analysis,"Conduct analysis of physical and logical digital technologies (eg, wireless, SCADA, telecom) to identify potential avenues of access"
Analysis,Conduct analysis of target communications to identify essential information in support of organization objectives
Data Mining,Conduct and document an assessment of the collection results using established procedures
Cyber Crime and Law,conduct and implement market research to understand government and industry capabilities and appropriate pricing
Networking,Conduct and/or support authorized penetration testing on enterprise network assets
Networking,Conduct collection and processing of wireless computer and digital networks
Analysis,Conduct cursory binary analysis
Networking,Conduct cyber activities to degrade/remove information resident in computers and computer networks
Programming Fundamentals,Conduct end-of-operations assessments
Networking,Conduct exploitation of wireless computer and digital networks
Analysis,"conduct forensic analyses in and for both Windows and Unix, Linux environments"
Data Mining,Conduct formal and informal coordination of collection requirements in accordance with established guidelines and procedures
Cyber Crime and Law,"Conduct framing of pleadings to properly identify alleged violations of law, regulations, or policy/guidance"
Analysis,Conduct functional and connectivity testing to ensure continuing operability
Education/Teaching,Conduct hypothesis testing using statistical processes
Software Development,Conduct import/export reviews for acquiring systems and software
Analysis,Conduct in-depth research and analysis
Analysis,"Conduct independent in-depth target and technical analysis including target-specific information (eg, cultural, organizational, political) that results in access"
Data Security,Conduct initial remediation actions on security controls based on the findings and recommendations of a security assessment report; reassess remediated controls
Education/Teaching,Conduct interactive training exercises to create an effective learning environment
Cyber Crime and Law,Conduct interviews of victims and witnesses and conduct interviews or interrogations of suspects
Education/Teaching,Conduct learning needs assessments and identify requirements
Cyber Threats,"Conduct long-range, strategic planning efforts with internal and external partners in cyber activities"
Networking,Conduct network scouting and vulnerability analyses of systems within a network
Analysis,Conduct nodal analysis
Education/Teaching,Conduct on-going privacy training and awareness activities
Data Mining,Conduct on-net activities to control and exfiltrate data from deployed technologies
Data Mining,"Conduct on-net and off-net activities to control, and exfiltrate data from deployed, automated technologies"
Data Mining,Conduct open source data collection via various online tools
Data Security,Conduct periodic information privacy impact assessments and ongoing compliance monitoring activities in coordination with the organization’s other compliance and operational assessment functions
Programming Fundamentals,"Conduct periodic reviews/revisions of course content for accuracy, completeness alignment, and currency (eg, course content documents, lesson plans, student texts, examinations, schedules of instruction, and course descriptions)"
