INDEX,TIER1 JOB,TIER2 JOB,TIER3 JOB,SKILL
K0051,Programming Languages,,,"Knowledge of low-level computer languages (e.g., assembly languages, machine code)."
K0052,Cybersecurity Foundations,,,"Knowledge of mathematics (e.g. logarithms, trigonometry, linear algebra, calculus, statistics, and operational analysis)."
K0053,Analysis,,,Knowledge of measures or indicators of system performance and availability.
K0054,Analysis,,,"Knowledge of current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment, monitoring, detection, and remediation tools and procedures utilizing standards-based concepts and capabilities."
K0055,Systems Architecture,Embedded Systems,,Knowledge of microprocessors.
K0056,Networking,,,"Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML)."
K0057,Networking,,,Knowledge of network hardware devices and functions.
K0058,Analysis,Networking,,Knowledge of network traffic analysis methods.
K0059,IT Management/Services,,,Knowledge of new and emerging information technology (IT) and cybersecurity technologies.
K0060,Operating Systems,,,"Knowledge of operating systems (e.g., Linux, Unix, Windows, iOS, Android, ChromeOS, macOS, Ubuntu)."
K0061,Networking,,,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL])."
K0062,Analysis,Networking,,Knowledge of packet-level analysis.
K0063,Systems Architecture,,,Knowledge of parallel and distributed computing concepts.
K0064,Analysis,,,Knowledge of performance tuning tools and techniques.
K0065,Cyber Crime and Law,,,Knowledge of policy-based and risk adaptive access controls.
K0066,Cyber Threats,Privacy,,Knowledge of Privacy Impact Assessments.
K0067,Systems Architecture,Embedded Systems,,Knowledge of process engineering concepts.
K0068,Programming Languages,,,Knowledge of programming language structures and logic.
K0069,Programming Languages,,,Knowledge of query languages such as SQL (structured query language).
K0070,Cyber Threats,Ethical Hacking,,"Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code)."
K0071,Networking,,,Knowledge of remote access technology concepts.
K0072,Data Mining,,,Knowledge of resource management principles and techniques.
K0073,Data Security,,,"Knowledge of secure configuration management techniques. (e.g., Security Technical Implementation Guides (STIGs), cybersecurity best practices on cisecurity.org, password policies, encryption, user rights and privilages)."
K0074,IT Management/Services,,,"Knowledge of key concepts in security management (e.g., Release Management, Patch Management)."
K0075,Data Security,,,"Knowledge of security system design tools, methods, and techniques."
K0076,Systems Architecture,,,"Knowledge of server administration and systems engineering theories, concepts, and methods."
K0077,Operating Systems,,,Knowledge of server and client operating systems.
K0078,Networking,,,Knowledge of server diagnostic tools and fault identification techniques.
K0079,Software Development,,,Knowledge of software debugging principles.
K0080,Software Development,,,"Knowledge of software design tools, methods, and techniques."
K0081,Software Development,,,"Knowledge of software development models (e.g., Waterfall Model, Spiral Model, V-model, Incremental, RAD, Agile, Iterative, Prototype)."
K0082,Software Development,,,Knowledge of software engineering.
K0083,Data Mining,,,"Knowledge of sources, characteristics, and uses of the organization’s data assets."
K0084,Analysis,,,Knowledge of structured analysis principles and methods.
K0086,Systems Architecture,,,"Knowledge of system design tools, methods, and techniques, including automated systems analysis and design tools."
K0087,Systems Architecture,,,"Knowledge of system software and organizational design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design."
K0088,Systems Architecture,,,Knowledge of systems administration concepts.
K0089,Systems Architecture,,,Knowledge of systems diagnostic tools and fault identification techniques.
K0090,Systems Architecture,,,"Knowledge of system life cycle management principles, including software security and usability."
K0091,Systems Architecture,,,Knowledge of systems testing and evaluation methods.
K0092,IT Management/Services,,,Knowledge of technology integration processes.
K0093,Networking,,,"Knowledge of telecommunications concepts (e.g., Communications channel, Systems Link Budgeting, Spectral efficiency, Multiplexing)."
K0094,Cybersecurity Foundations,,,"Knowledge of the capabilities and functionality associated with content creation technologies (e.g., wikis, social networking, content management systems, blogs)."
K0095,Database Systems,,,"Knowledge of the capabilities and functionality associated with various technologies for organizing and managing information (e.g., databases, bookmarking engines)."
K0096,Cybersecurity Foundations,,,"Knowledge of the capabilities and functionality of various collaborative technologies (e.g., groupware, SharePoint, Flowdock, GoToMeeting, Slack, Dapulse, ProofHub, Redbooth, Trello, Wimi)."
K0097,Database Systems,,,Knowledge of the characteristics of physical and virtual data storage media.
K0098,Cyber Threats,,,Knowledge of the cyber defense Service Provider reporting structure and processes within one’s own organization.
K0100,IT Management/Services,,,Knowledge of the enterprise information technology (IT) architecture.
K0101,IT Management/Services,,,Knowledge of the organization’s enterprise information technology (IT) goals and objectives.
K0102,Systems Architecture,,,Knowledge of the systems engineering process.
K0103,IT Management/Services,Hard/Software Maintenance,,Knowledge of the type and frequency of routine hardware maintenance.
K0104,Communication Architecture and Security,,,Knowledge of Virtual Private Network (VPN) security.
K0105,Systems Architecture,Web Dev,,"Knowledge of web services (e.g., service-oriented architecture, Simple Object Access Protocol, and web service description language, Apache, Azure, XML Interface for Network Services, Web Services for Invocation Framework)."
K0106,Cyber Threats,,,Knowledge of what constitutes a network attack and a network attack’s relationship to both threats and vulnerabilities.
K0107,Cyber Threats,,,"Knowledge of Insider Threat investigations, reporting, investigative tools and laws/regulations."
K0108,Communication Architecture and Security,,,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless)."
K0109,Systems Architecture,Hard/Software Maintenance,,"Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage, graphics cards, GPUs, mice, mouse, keyboard, power supply, case)."
K0110,Cyber Threats,Ethical Hacking,,"Knowledge of adversarial tactics, techniques, and procedures."
K0111,Networking,,,"Knowledge of network tools (e.g., ping, traceroute, nslookup)"
K0112,Communication Architecture and Security,,,Knowledge of defense-in-depth principles and network security architecture.
K0113,Networking,,,"Knowledge of different types of network communication (e.g., LAN, WAN, MAN, WLAN, WWAN)."
K0114,Cybersecurity Foundations,,,"Knowledge of electronic devices (e.g., computer systems/components, access control devices, digital cameras, digital scanners, electronic organizers, hard drives, memory cards, modems, network components, networked appliances, networked home control devices, printers, removable storage devices, telephones, copiers, facsimile machines, etc.)."
K0115,Cyber Threats,Ethical Hacking,,Knowledge that technology that can be exploited.
K0116,Operating Systems,,,"Knowledge of file extensions (e.g., .dll, .bat, .zip, .pcap, .gzip, pdf, doc, docx, exe, gif, jar, jpg, mov)."
K0117,Systems Architecture,,,"Knowledge of file system implementations (e.g., New Technology File System [NTFS], File Allocation Table [FAT], File Extension [EXT])."
K0118,Forensics,,,Knowledge of processes for seizing and preserving digital evidence.
K0119,Cyber Threats,Ethical Hacking,,Knowledge of hacking methodologies.
K0120,Data Mining,,,"Knowledge of how information needs and collection requirements are translated, tracked, and prioritized across the extended enterprise."
K0121,Data Security,,,Knowledge of information security program management and project management principles and techniques.
K0122,Networking,,,"Knowledge of investigative implications of hardware, Operating Systems, and network technologies."
K0123,Cyber Crime and Law,,,Knowledge of legal governance related to admissibility (e.g. Rules of Evidence).
K0124,Cybersecurity Foundations,Virtualization,,Knowledge of multiple cognitive domains and tools and methods applicable for learning in each domain.
K0125,Forensics,,,"Knowledge of processes for collecting, packaging, transporting, and storing electronic evidence while maintaining chain of custody."
K0126,Database Systems,,,Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
K0127,Communication Architecture and Security,,,"Knowledge of the nature and function of the relevant information structure (e.g., National Information Infrastructure)."
K0128,Data Mining,,,Knowledge of types and collection of persistent data.
K0129,Operating Systems,,,"Knowledge of command-line tools (e.g., mkdir, mv, ls, passwd, grep)."
K0130,Software Development,Virtualization,,Knowledge of virtualization technologies and virtual machine development and maintenance.
K0131,Data Mining,Web Dev,,"Knowledge of web mail collection, searching/analyzing techniques, tools, and cookies."
K0132,Systems Architecture,,,"Knowledge of which system files (e.g., log files, registry files, configuration files) contain relevant information and where to find those system files."
K0133,Forensics,,,Knowledge of types of digital forensics data and how to recognize them.
K0134,Forensics,,,Knowledge of deployable forensics.
K0135,Data Mining,Web Dev,,Knowledge of web filtering technologies.
K0136,Communication Architecture and Security,,,"Knowledge of the capabilities of different electronic communication systems and methods (e.g., e-mail, VOIP, IM, web forums, Direct Video Broadcasts)."
K0137,Networking,,,"Knowledge of the range of existing networks (e.g., PBX, LANs, WANs, WIFI, SCADA)."
K0138,Networking,Wireless Systems,,Knowledge of Wi-Fi.
K0139,Programming Languages,,,Knowledge of interpreted and compiled computer languages.
K0140,Data Security,,,Knowledge of secure coding techniques.
K0142,Data Mining,,,"Knowledge of collection management processes, capabilities, and limitations."
K0143,Data Mining,Web Dev,,"Knowledge of front-end collection systems, including traffic collection, filtering, and selection."
K0144,Cyber Threats,,,Knowledge of social dynamics of computer attackers in a global context.
K0145,Data Security,,,Knowledge of security event correlation tools.
K0146,Forensics,,,Knowledge of the organization's core business/mission processes.
K0147,Forensics,,,"Knowledge of emerging security issues, risks, and vulnerabilities."
K0148,Database Systems,,,Knowledge of import/export control regulations and responsible agencies for the purposes of reducing supply chain risk.
K0149,Forensics,,,Knowledge of organization's risk tolerance and/or risk management approach.
K0150,Disaster Management,,,"Knowledge of enterprise incident response program, roles, and responsibilities."
K0151,Cyber Threats,,,Knowledge of current and emerging threats/threat vectors.
K0152,IT Management/Services,,,"Knowledge of software related information technology (IT) security principles and methods (e.g., modularization, layering, abstraction, data hiding, simplicity/minimization)."
K0153,Software Development,,,Knowledge of software quality assurance process.
K0154,Forensics,,,"Knowledge of supply chain risk management standards, processes, and practices."
K0155,Cyber Crime and Law,,,Knowledge of electronic evidence law.
K0156,Cyber Crime and Law,,,Knowledge of legal rules of evidence and court procedure.
K0157,Cyber Threats,,,"Knowledge of cyber defense and information security policies, procedures, and regulations."
K0158,IT Management/Services,,,"Knowledge of organizational information technology (IT) user security policies (e.g., account creation, password rules, access control)."
K0159,Networking,,,Knowledge of Voice over IP (VoIP).
K0160,Cyber Threats,,,Knowledge of the common attack vectors on the network layer.
K0161,Cyber Threats,,,"Knowledge of different classes of attacks (e.g., passive, active, insider, close-in, distribution attacks)."
K0162,Cyber Threats,,,"Knowledge of cyber attackers (e.g., script kiddies, insider threat, non-nation state sponsored, and nation sponsored)."
K0163,IT Management/Services,,,Knowledge of critical information technology (IT) procurement requirements.
K0164,Data Security,,,"Knowledge of functionality, quality, and security requirements and how these will apply to specific items of supply (i.e., elements and processes)."
K0165,Cyber Threats,,,Knowledge of risk/threat assessment.
K0167,IT Management/Services,,,"Knowledge of system administration, network, and operating system hardening techniques."
K0168,Cyber Crime and Law,,,"Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures."
K0169,IT Management/Services,,,"Knowledge of information technology (IT) supply chain security and supply chain risk management policies, requirements, and procedures."
K0170,Systems Architecture,,,Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.
K0171,Forensics,Reverse Engineering,,Knowledge of hardware reverse engineering techniques.
K0172,Systems Architecture,,,"Knowledge of middleware (e.g., enterprise service bus and message queuing)."
K0174,Networking,,,Knowledge of networking protocols.
K0175,Forensics,Reverse Engineering,,Knowledge of software reverse engineering techniques.
K0176,Programming Languages,,,Knowledge of Extensible Markup Language (XML) schemas.
K0177,Cyber Threats,,,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks)."
K0178,Software Development,,,"Knowledge of secure software deployment methodologies, tools, and practices."
K0179,Communication Architecture and Security,,,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth)."
K0180,Networking,,,"Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools."
K0182,Data Mining,,,"Knowledge of data carving tools and techniques (e.g., Foremost, Scalpel, FTK, Encase, PhotoRec, Revit, TestDisk, Magic Rescue)."
K0183,Forensics,Reverse Engineering,,Knowledge of reverse engineering concepts.
K0184,Forensics,,,"Knowledge of anti-forensics tactics, techniques, and procedures."
K0185,Forensics,,,"Knowledge of forensics lab design configuration and support applications (e.g., VMWare, Wireshark)."
K0186,IT Management/Services,,,Knowledge of debugging procedures and tools.
K0187,Cyber Threats,,,Knowledge of file type abuse by adversaries for anomalous behavior.
K0188,Analysis,Forensics,,"Knowledge of malware analysis tools (e.g., Oily Debug, Ida Pro, PeStudio, Process Hacker, Process Monitor, ProcDot, Autoruns, Fiddler, Wireshark, x64dbg)."
K0189,Intrusion Detection Systems,Virtualization,,"Knowledge of malware with virtual machine detection (e.g. virtual aware malware, debugger aware malware, and unpacked malware that looks for VM-related strings in your computer’s display device, filesystem)."
K0190,Encryption and Cryptography,,,Knowledge of encryption methodologies.
K0191,Cyber Threats,,,"Signature implementation impact for viruses, malware, and attacks."
K0192,Networking,,,Knowledge of Windows/Unix ports and services.
K0193,Database Systems,,,Knowledge of advanced data remediation security features in databases.
K0194,Networking,Cloud Computing ,,"Knowledge of Cloud-based knowledge management technologies and concepts related to security, governance, procurement, and administration."
K0195,Data Mining,,,Knowledge of data classification standards and methodologies based on sensitivity and other risk factors.
K0196,Encryption and Cryptography,,,Knowledge of Import/Export Regulations related to cryptography and other security technologies.
K0197,Database Systems,,,"Knowledge of database access application programming interfaces (e.g., Java Database Connectivity [JDBC], Oracle Data Hubs)."
K0198,Database Systems,,,"Knowledge of organizational process improvement concepts and process maturity models (e.g., Capability Maturity Model Integration (CMMI) for Development, CMMI for Services, and CMMI for Acquisitions)."
K0199,Systems Architecture,,,"Knowledge of security architecture concepts and enterprise architecture reference models (e.g., Zachman, Federal Enterprise Architecture [FEA])."
K0200,Networking,,,"Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL])."
K0201,Encryption and Cryptography,,,Knowledge of symmetric key rotation techniques and concepts.
K0202,Communication Architecture and Security,,,"Knowledge of the application firewall concepts and functions (e.g., Single point of authentication/audit/policy enforcement, message scanning for malicious content, data anonymization for PCI and PII compliance, data loss protection scanning, accelerated cryptographic operations, SSL security, REST/JSON processing, packet filtering, real-time monitoring, logging)."
K0203,Data Security,,,"Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark Wilson integrity model)."
K0204,Education/Teaching,,,"Knowledge of learning assessment techniques (rubrics, evaluation plans, tests, quizzes)."
K0205,Data Security,,,"Knowledge of basic system, network, and OS hardening techniques."
K0206,Cyber Threats,Ethical Hacking,,Knowledge of ethical hacking principles and techniques.
K0207,Analysis,,,Knowledge of circuit analysis.
K0208,Education/Teaching,,,Knowledge of computer based training and e-learning services.
K0209,Communication Architecture and Security,,,Knowledge of covert communication techniques.
K0210,Database Systems,,,Knowledge of data backup and restoration concepts.
K0211,Cybersecurity Foundations,Privacy,,"Knowledge of confidentiality, integrity, and availability requirements."
K0212,Education/Teaching,,,Knowledge of cybersecurity-enabled software products.
K0213,Education/Teaching,,,"Knowledge of instructional design and evaluation models (e.g., ADDIE, Smith/Ragan model, Gagne’s Events of Instruction, Kirkpatrick’s model of evaluation)."
K0214,Cyber Threats,,,Knowledge of the Risk Management Framework Assessment Methodology.
K0215,Education/Teaching,,,Knowledge of organizational training policies.
K0216,Education/Teaching,,,"Knowledge of learning levels (i.e., Bloom’s Taxonomy of learning)."
K0217,Education/Teaching,,,Knowledge of Learning Management Systems and their use in managing learning.
K0218,Education/Teaching,,,"Knowledge of learning styles (e.g., assimilator, auditory, kinesthetic)."
K0220,Education/Teaching,,,"Knowledge of modes of learning (e.g., rote learning, observation)."
K0221,Networking,,,"Knowledge of OSI model and underlying network protocols (e.g., TCP/IP)."
K0222,Cyber Crime and Law,,,"Knowledge of relevant laws, legal authorities, restrictions, and regulations pertaining to cyber defense activities."
K0224,Operating Systems,,,"Knowledge of system administration concepts for operating systems such as but not limited to Unix, Linux, IOS, Android, and Windows operating systems."
K0226,Education/Teaching,,,Knowledge of organizational training systems.
K0227,Systems Architecture,,,Knowledge of various types of computer architectures.
K0228,Cybersecurity Foundations,,,Knowledge of taxonomy and semantic ontology theory.
K0229,Analysis,,,"Knowledge of applications that can log errors, exceptions, and application faults and logging."
K0230,Networking,Cloud Computing,,Knowledge of cloud service models and how those models can limit incident response.
K0231,Disaster Management,,,"Knowledge of crisis management protocols, processes, and techniques."
K0233,Cybersecurity Foundations,,,"Knowledge of the National Cybersecurity Workforce Framework, work roles, and associated tasks, knowledge, skills, and abilities."
K0234,Cybersecurity Foundations,,,"Knowledge of full spectrum cyber capabilities (e.g., defense, attack, exploitation, surveillance, reporting)."
K0235,Education/Teaching,,,"Knowledge of how to leverage research and development centers, think tanks, academic research, and industry systems."
K0236,Programming Languages,,,"Knowledge of how to utilize Hadoop, Java, Python, SQL, Hive, and Pig to explore data."
K0237,IT Management/Services,,,Knowledge of industry best practices for service desk.
K0238,Data Mining,,,Knowledge of machine learning theory and principles.
K0239,Communication Architecture and Security,,,"Knowledge of media production, communication, and dissemination techniques and methods, including alternative ways to inform via written, oral, and visual media."
K0240,Data Security,,,Knowledge of multi-level security systems and cross domain solutions.
K0241,Cyber Crime and Law,,,"Knowledge of organizational human resource policies, processes, and procedures."
K0242,Cyber Crime and Law,,,Knowledge of organizational security policies.
K0243,Education/Teaching,,,"Knowledge of organizational training and education policies, processes, and procedures."
K0244,Forensics,,,Knowledge of physical and physiological behaviors that may indicate suspicious or abnormal activity.
K0245,Education/Teaching,,,Knowledge of principles and processes for conducting training and education needs assessment.
K0246,Software Development,,,"Knowledge of relevant concepts, procedures, software, equipment, and technology applications."
K0247,IT Management/Services,,,"Knowledge of remote access processes, tools, and capabilities related to customer support."
K0248,Cyber Threats,,,Knowledge of strategic theory and practice.
K0249,IT Management/Services,,,"Knowledge of sustainment technologies, processes and strategies."
K0250,Education/Teaching,,,Knowledge of Test & Evaluation processes for learners.
K0251,Cyber Crime and Law,,,"Knowledge of the judicial process, including the presentation of facts and evidence."
K0252,Education/Teaching,,,"Knowledge of training and education principles and methods for curriculum design, teaching and instruction for individuals and groups, and the measurement of training and education effects."
K0254,Analysis,,,Knowledge of binary analysis.
K0255,Communication Architecture and Security,,,"Knowledge of network architecture concepts including topology, protocols, and components."
K0257,Cyber Crime and Law,,,Knowledge of information technology (IT) acquisition/procurement requirements.
K0258,Cybersecurity Foundations,,,"Knowledge of test procedures, principles, and methodologies (e.g., Capabilities and Maturity Model Integration (CMMI), audits, penetration testing, vulnerability scanning, risk assessments)."
K0259,Analysis,,,Knowledge of malware analysis concepts and methodologies.
K0260,Data Security,,,Knowledge of Personally Identifiable Information (PII) data security standards.
K0261,Data Security,,,Knowledge of Payment Card Industry (PCI) data security standards.
K0262,Data Security,,,Knowledge of Personal Health Information (PHI) data security standards.
K0263,IT Management/Services,,,"Knowledge of information technology (IT) risk management policies, requirements, and procedures."
K0264,IT Management/Services,,,"Knowledge of program protection planning (e.g. information technology (IT) supply chain security/risk management policies, anti-tampering techniques, and requirements)."
K0265,IT Management/Services,,,"Knowledge of infrastructure supporting information technology (IT) for safety, performance, and reliability."
K0266,Forensics,,,Knowledge of how to evaluate the trustworthiness of the supplier and/or product.
K0267,Cyber Crime and Law,,,"Knowledge of laws, policies, procedures, or governance relevant to cybersecurity for critical infrastructures."
K0268,Forensics,,,Knowledge of forensic footprint identification.
K0269,Communication Architecture and Security,,,Knowledge of mobile communications architecture.
K0270,Software Development,,,Knowledge of the acquisition/procurement life cycle process.
K0271,Operating Systems,,,"Knowledge of operating system structures and internals (e.g., process management, directory structure, installed applications)."
K0272,Analysis,,,Knowledge of network analysis tools used to identify software communications vulnerabilities.
K0274,Networking,,,"Knowledge of transmission records (e.g., Bluetooth, Radio Frequency Identification (RFID), Infrared Networking (IR), Wireless Fidelity (Wi-Fi). paging, cellular, satellite dishes, Voice over Internet Protocol (VoIP)), and jamming techniques that enable transmission of undesirable information, or prevent installed systems from operating correctly."
K0275,IT Management/Services,,,Knowledge of configuration management techniques.
K0276,IT Management/Services,,,Knowledge of security management.
K0277,Encryption and Cryptography,,,"Knowledge of current and emerging data encryption (e.g., Column and Tablespace Encryption, file and disk encryption) security features in databases (e.g. built-in cryptographic key management features)."
K0278,Database Systems,,,Knowledge of current and emerging data remediation security features in databases.
K0280,Systems Architecture,Embedded Systems,,"Knowledge of systems engineering theories, concepts, and methods."
K0281,IT Management/Services,,,Knowledge of information technology (IT) service catalogues.
K0283,Cybersecurity Foundations,Cloud Computing,,"Knowledge of use cases related to collaboration and content synchronization across platforms (e.g., Mobile, PC, Cloud, Consoles)."
K0284,Data Security,,,Knowledge of developing and applying user credential management system.
K0285,Encryption and Cryptography,,,Knowledge of implementing enterprise key escrow systems to support data-at-rest encryption.
K0286,Networking,,,Knowledge of N-tiered typologies (e.g. including server and client operating systems).
K0287,Data Security,,,Knowledge of an organization's information classification program and procedures for information compromise.
K0288,Data Security,,,Knowledge of industry standard security models.
K0289,Networking,,,Knowledge of system/server diagnostic tools and fault identification techniques.
K0290,Communication Architecture and Security,,,Knowledge of systems security testing and evaluation methods.
K0291,IT Management/Services,,,"Knowledge of the enterprise information technology (IT) architectural concepts and patterns (e.g., baseline, validated design, and target architectures.)"
K0292,Disaster Management,,,"Knowledge of the operations and processes for incident, problem, and event management."
K0293,Systems Architecture,,,Knowledge of integrating the organization’s goals and objectives into the architecture.
K0294,IT Management/Services,,,"Knowledge of IT system operation, maintenance, and security needed to keep equipment functioning properly."
K0295,Cybersecurity Foundations,Privacy,,"Knowledge of confidentiality, integrity, and availability principles."
K0296,Communication Architecture and Security,,,"Knowledge of capabilities, applications, and potential vulnerabilities of network equipment including hubs, routers, switches, bridges, servers, transmission media, and related hardware."
K0297,Intrusion Detection Systems,,,Knowledge of countermeasure design for identified security risks.
K0298,Intrusion Detection Systems,,,Knowledge of countermeasures for identified security risks.
K0299,Data Security,,,"Knowledge in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes."
K0300,Networking,,,Knowledge of network mapping and recreating network topologies.
K0301,Analysis,Networking,,"Knowledge of packet-level analysis using appropriate tools (e.g., Wireshark, tcpdump, Tproxy, NetworkMiner, Fiddler, WinDump, BruteShark, OmniPeek)."
K0302,Cybersecurity Foundations,,,Knowledge of the basic operation of computers.
K0303,Networking,,,Knowledge of the use of sub-netting tools.
K0304,Forensics,,,Knowledge of concepts and practices of processing digital forensic data.
K0305,Encryption and Cryptography,,,Knowledge of data concealment (e.g. encryption algorithms and stenography).
K0308,Encryption and Cryptography,,,Knowledge of cryptology.
K0309,Forensics,,,Knowledge of emerging technologies that have potential for exploitation.
K0310,Cyber Threats,Ethical Hacking,,Knowledge of hacking methodologies.
K0311,Analysis,,,Knowledge of industry indicators useful for identifying technology trends.
K0312,Cyber Crime and Law,,,"Knowledge of intelligence gathering principles, policies, and procedures including legal authorities and restrictions."
K0313,Education/Teaching,,,"Knowledge of external organizations and academic institutions with cyber focus (e.g., cyber curriculum/training and Research & Development)."
K0314,Cyber Threats,,,Knowledge of industry technologies’ potential cybersecurity vulnerabilities.
K0315,Data Mining,,,"Knowledge of the principal methods, procedures, and techniques of gathering information and producing, reporting, and sharing information."
K0316,Cyber Crime and Law,,,"Knowledge of business or military operation plans, concept operation plans, orders, policies, and standing rules of engagement."
K0317,Disaster Management,,,"Knowledge of procedures used for documenting and querying reported incidents, problems, and events."
K0318,Operating Systems,,,Knowledge of operating system command-line tools.
K0319,Networking,,,Knowledge of technical delivery capabilities and their limitations.
K0320,Forensics,,,Knowledge of organization's evaluation and validation criteria.
K0321,Systems Architecture,,,Knowledge of engineering concepts as applied to computer architecture and associated computer hardware/software.
K0322,Systems Architecture,Embedded Systems,,Knowledge of embedded systems.
K0323,Disaster Management,,,Knowledge of system fault tolerance methodologies.
