INDEX,TIER1 JOB,TIER2 JOB,TIER3 JOB,SKILL,
T0617,Analysis,,,Conduct nodal analysis.,23
T0173,Analysis,,,Perform timeline analysis.,26
T0179,Analysis,,,Perform static media analysis.,30
T0167,Analysis,,,Perform file signature analysis.,32
T0253,Analysis,,,Conduct cursory binary analysis.,32
T0288,Analysis,,,Perform static malware analysis.,32
T0397,Analysis,,,Perform Windows registry analysis.,34
T0425,Analysis,,,Analyze organizational cyber policy.,36
T0565,Analysis,,,Analyze incoming collection requests.,37
T0286,Analysis,,,Perform file system forensic analysis.,38
T0611,Analysis,,,Conduct end-of-operations assessments.,38
T0776,Analysis,,,Produce target system analysis products.,40
T0182,Analysis,,,"Perform tier 1, 2, and 3 malware analysis.",42
T0308,Analysis,,,Analyze incident data for emerging trends.,42
T0530,Analysis,,,Develop a trend analysis and impact report.,43
T0470,Analysis,,,Analyze and report system security posture trends.,50
T0164,Analysis,,,Perform cyber defense trend analysis and reporting.,51
T0007,Analysis,,,Analyze and define data requirements and specifications.,56
T0427,Analysis,,,Analyze user needs and requirements to plan architecture.,57
T0469,Analysis,,,Analyze and report organizational security posture trends.,58
T0653,Analysis,,,Apply analytic techniques to gain more target information.,58
T0782,Analysis,,,Provide analyses and support for effectiveness assessment.,58
T0850,Analysis,,,Perform or support technical network analysis and mapping.,58
T0342,Analysis,,,Analyze data sources to provide actionable recommendations.,59
T0852,Analysis,,,Perform social network analysis and document as appropriate.,60
T0661,Analysis,,,Develop measures of effectiveness and measures of performance.,62
T0690,Analysis,,,Evaluate intelligence estimates to support the planning cycle.,62
T0567,Analysis,,,Analyze target operational architecture for ways to gain access.,64
T0293,Analysis,,,Identify and analyze anomalies in network traffic using metadata.,65
T0396,Analysis,,,Process image with appropriate tools depending on analyst’s goals.,66
T0591,Analysis,,,Perform analysis for target infrastructure exploitation activities.,67
T0008,Analysis,,,Analyze and plan for anticipated changes in data capacity requirements.,71
T0343,Analysis,,,"Analyze the crisis to ensure public, personal, and resource protection.",71
T0426,Analysis,,,"Analyze the results of software, hardware, or interoperability testing.",71
T0692,Analysis,,,Generate and evaluate the effectiveness of network analysis strategies.,71
T0727,Analysis,,,"Identify, locate, and track targets via geospatial analysis techniques.",71
T0541,Analysis,,,Trace system requirements to design components and perform gap analysis.,72
T0774,Analysis,,,Process exfiltrated data for analysis and/or dissemination to customers.,72
T0767,Analysis,,,Perform content and/or metadata analysis to meet organization objectives.,73
T0838,Analysis,,,Analyze and process information using language and/or cultural expertise.,73
T0859,Analysis,,,"Provide near-real time language analysis support (e.g., live operations).",73
T0577,Analysis,,,Assess efficiency of existing information exchange and management systems.,74
T0558,Analysis,,,Analyze user needs and requirements to plan and conduct system development.,75
T0099,Analysis,,,"Evaluate cost/benefit, economic, and risk analysis in decision-making process.",78
T0423,Analysis,,,Analyze computer-generated threats for counter intelligence or criminal activity.,81
T0270,Analysis,,,Analyze user needs and requirements to plan and conduct system security development.,84
T0172,Analysis,,,"Perform real-time forensic analysis (e.g., using Helix in conjunction with LiveView).",85
T0597,Analysis,,,Collaborate with intelligence analysts/targeting organizations involved in related areas.,89
T0228,Analysis,,,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",90
T0307,Analysis,,,"Analyze candidate architectures, allocate security services, and select security mechanisms.",92
T0385,Analysis,,,Provide actionable recommendations to critical stakeholders based on data analysis and findings.,96
T0566,Analysis,,,"Analyze internal operational architecture, tools, and procedures for ways to improve performance.",97
T0174,Analysis,,,Perform needs analysis to determine opportunities for new and improved business process solutions.,98
T0287,Analysis,,,"Perform static analysis to mount an ""image"" of a drive (without necessarily having the original drive).",103
T0240,Analysis,,,Capture and analyze network traffic associated with malicious activities using network monitoring tools.,104
T0564,Analysis,,,Analyze feedback to determine extent to which collection products and services are meeting requirements.,104
T0242,Analysis,,,Utilize models and simulations to analyze or predict system performance under different operating conditions.,109
T0563,Analysis,,,"Provide input to the analysis, design, development or acquisition of capabilities used for meeting objectives.",110
T0607,Analysis,,,Identify and conduct analysis of target communications to identify information essential to support operations.,111
T0011,Analysis,,,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,113
T0842,Analysis,,,Conduct analysis of target communications to identify essential information in support of organization objectives.,114
T0023,Analysis,,,Characterize and analyze network traffic to identify anomalous activity and potential threats to network resources.,115
T0012,Analysis,,,"Analyze design constraints, analyze trade-offs and detailed system and security design, and consider life cycle support.",120
T0149,Analysis,,,Manage threat or target analysis of cyber defense information and production of threat information within the enterprise.,121
T0214,Analysis,,,Receive and analyze network alerts from various sources within the enterprise and determine possible causes of such alerts.,123
T0482,Analysis,,,Make recommendations based on trend analysis for enhancements to software and hardware solutions to enhance customer experience.,128
T0260,Analysis,,,"Analyze identified malicious activity to determine weaknesses exploited, exploitation methods, effects on system and information.",129
T0183,Analysis,,,"Perform validation steps, comparing actual results with expected results and analyze the differences to identify impact and risks.",130
T0703,Analysis,,,"Gather and analyze data (e.g., measures of effectiveness) to determine effectiveness, and provide reporting for follow-on activities.",133
T0009,Analysis,,,"Analyze information to determine, recommend, and plan the development of a new application or modification of an existing application.",134
T0608,Analysis,,,"Conduct analysis of physical and logical digital technologies (e.g., wireless, SCADA, telecom) to identify potential avenues of access.",135
T0010,Analysis,,,Analyze organization's cyber defense policies and configurations and evaluate compliance with regulations and organizational directives.,136
T0428,Analysis,,,Analyze security needs and software requirements to determine feasibility of design within time and cost constraints and security mandates.,139
T0181,Analysis,,,"Perform risk analysis (e.g., threat, vulnerability, and probability of occurrence) whenever an application or system undergoes a major change.",142
T0027,Analysis,,,"Conduct analysis of log files, evidence, and other information to determine best methods for identifying the perpetrator(s) of a network intrusion.",147
T0013,Analysis,,,"Apply coding and testing standards, apply security testing tools including ""'fuzzing"" static-analysis code scanning tools, and conduct code reviews.",148
T0424,Analysis,,,Analyze and provide information to stakeholders that will support the development of security application or modification of an existing security application.,158
T0433,Analysis,,,"Conduct analysis of log files, evidence, and other information to determine best methods for identifying the perpetrator(s) of a network intrusion or other crimes.",163
T0614,Analysis,,,"Conduct independent in-depth target and technical analysis including target-specific information (e.g., cultural, organizational, political) that results in access.",164
T0165,Analysis,,,"Perform dynamic analysis to boot an “image” of a drive (without necessarily having the original drive) to see the intrusion as the user may have seen it, in a native environment.",178
T0161,Analysis,,,"Perform analysis of log files from a variety of sources (e.g., individual host logs, network traffic logs, firewall logs, and intrusion detection system [IDS] logs) to identify possible threats to network security.",214
T0568,Analysis,,,"Analyze plans, directives, guidance and policy for factors that would influence collection management's operational structure and requirement s (e.g., duration, scope, communication requirements, interagency/international agreements).",234
T0350,Analysis,,,"Conduct a market analysis to identify, assess, and recommend commercial, Government off-the-shelf, and open source products for use within a system and ensure recommended products are in compliance with organization's evaluation and validation requirements.",257
T0330,Communication Architecture and Security,,,Maintain assured message delivery systems.,42
T0818,Communication Architecture and Security,,,Serve as a liaison with external partners.,42
T0094,Communication Architecture and Security,,,Establish and maintain communication channels with stakeholders.,64
T0518,Communication Architecture and Security,,,Perform security reviews and identify security gaps in architecture.,68
T0018,Communication Architecture and Security,,,Assess the effectiveness of cybersecurity measures utilized by system(s).,73
T0517,Communication Architecture and Security,,,Integrate results regarding the identification of gaps in security architecture.,80
T0942,Communication Architecture and Security,,,"Identify the types of information to be processed, stored, or transmitted by a system.",86
T0492,Communication Architecture and Security,,,Ensure the integration and implementation of Cross-Domain Solutions (CDS) in a secure environment.,98
T0704,Communication Architecture and Security,,,Incorporate cyber operations and communications security support plans into organization objectives.,100
T0177,Communication Architecture and Security,,,"Perform security reviews, identify gaps in security architecture, and develop a security risk management plan.",110
T0095,Communication Architecture and Security,,,Establish overall enterprise information security architecture (EISA) with the organization’s overall security strategy.,120
T0721,Communication Architecture and Security,,,"Identify issues or problems that can disrupt and/or degrade processing, exploitation and dissemination architecture effectiveness.",130
T0961,Communication Architecture and Security,,,Assess the security controls employed within and inherited by the system in accordance with an organization-defined monitoring strategy.,136
T0090,Communication Architecture and Security,,,Ensure that acquired or developed system(s) and architecture(s) are consistent with organization's cybersecurity architecture guidelines.,137
T0140,Communication Architecture and Security,,,"Maintain information exchanges through publish, subscribe, and alert functions that enable users to send and receive critical information as required.",150
T0178,Communication Architecture and Security,,,Perform security reviews and identify security gaps in security architecture resulting in recommendations for inclusion in the risk mitigation strategy.,152
T0328,Communication Architecture and Security,,,Evaluate security architectures and designs to determine the adequacy of security design and architecture proposed or provided in response to requirements contained in acquisition documents.,190
T0301,Communication Architecture and Security,,,Develop and implement cybersecurity independent audit processes for application software/networks/systems and oversee ongoing independent audits to ensure that operational and Research and Design (R&D) processes and procedures are in compliance with organizational and mandatory cybersecurity requirements and accurately followed by Systems Administrators and other cybersecurity staff when performing their day-to-day activities.,430
T0193,Cyber Crime and Law,,,Process crime scenes.,21
T0472,Cyber Crime and Law,,,"Draft, staff, and publish cyber policy.",39
T0114,Cyber Crime and Law,,,Identify elements of proof of the crime.,40
T0116,Cyber Crime and Law,,,Identify organizational policy stakeholders.,44
T0226,Cyber Crime and Law,,,Serve on agency and interagency policy boards.,46
T0864,Cyber Crime and Law,,,Liaise with regulatory and accrediting bodies.,46
T0493,Cyber Crime and Law,,,"Lead and oversee budget, staffing, and contracting.",51
T0227,Cyber Crime and Law,,,Recommend policy and coordinate review and approval.,52
T0222,Cyber Crime and Law,,,Review existing and proposed policies with stakeholders.,56
T0506,Cyber Crime and Law,,,Seek consensus on proposed policy changes from stakeholders.,60
T0537,Cyber Crime and Law,,,Support the CIO in the formulation of cyber-related policies.,61
T0529,Cyber Crime and Law,,,"Provide policy guidance to cyber management, staff, and users.",62
T0552,Cyber Crime and Law,,,Review and approve a supply chain security/risk management policy.,66
T0574,Cyber Crime and Law,,,"Apply and obey applicable statutes, laws, regulations and policies.",67
T0220,Cyber Crime and Law,,,"Resolve conflicts in laws, regulations, policies, standards, or procedures.",75
T0766,Cyber Crime and Law,,,Propose policy which governs interactions with external coordination groups.,76
T0006,Cyber Crime and Law,,,Advocate organization's official position in legal and legislative proceedings.,79
T0102,Cyber Crime and Law,,,"Evaluate the effectiveness of laws, regulations, policies, standards, or procedures.",84
T0386,Cyber Crime and Law,,,Provide criminal investigative support to trial counsel during the judicial process.,84
T0098,Cyber Crime and Law,,,"Evaluate contracts to ensure compliance with funding, legal, and program requirements.",86
T0388,Cyber Crime and Law,,,Review and apply organizational policies related to or influencing the cyber workforce.,87
T0476,Cyber Crime and Law,,,"Evaluate the impact of changes to laws, regulations, policies, standards, or procedures.",88
T0523,Cyber Crime and Law,,,Prepare reports to document the investigation following legal standards and requirements.,89
T0670,Cyber Crime and Law,,,"Develop, implement, and recommend changes to appropriate planning procedures and policies.",90
T0131,Cyber Crime and Law,,,"Interpret and apply laws, regulations, policies, standards, or procedures to specific issues.",93
T0899,Cyber Crime and Law,,,"Periodically revise the privacy program considering changes in laws, regulatory or company policy",97
T0408,Cyber Crime and Law,,,"Interpret and apply applicable laws, statutes, and regulatory documents and integrate into policy.",98
T0429,Cyber Crime and Law,,,Assess policy needs and collaborate with stakeholders to develop policies to govern cyber activities.,101
T0108,Cyber Crime and Law,,,Identify and prioritize critical business functions in collaboration with organizational stakeholders.,102
T0890,Cyber Crime and Law,,,Develop appropriate sanctions for failure to comply with the corporate privacy policies and procedures,102
T0363,Cyber Crime and Law,,,"Develop and review recruiting, hiring, and retention procedures in accordance with current HR policies.",103
T0368,Cyber Crime and Law,,,Ensure that cyber career fields are managed in accordance with organizational HR policies and directives.,105
T0825,Cyber Crime and Law,,,Synchronize cyber international engagement activities and associated resource requirements as appropriate.,106
T0891,Cyber Crime and Law,,,Resolve allegations of noncompliance with the corporate privacy policies or notice of information practices,107
T0279,Cyber Crime and Law,,,Serve as technical expert and liaison to law enforcement personnel and explain incident details as required.,108
T0434,Cyber Crime and Law,,,"Conduct framing of pleadings to properly identify alleged violations of law, regulations, or policy/guidance.",109
T0282,Cyber Crime and Law,,,Define and/or implement policies and procedures to ensure protection of critical infrastructure as appropriate.,111
T0478,Cyber Crime and Law,,,"Provide guidance on laws, regulations, policies, standards, or procedures to management, personnel, or clients.",111
T0918,Cyber Crime and Law,,,"Establish, implement and maintains organization-wide policies and procedures to comply with privacy regulations",111
T0059,Cyber Crime and Law,,,"Develop a plan to investigate alleged crime, violation, or suspicious activity utilizing computers and the Internet.",116
T0280,Cyber Crime and Law,,,Continuously validate the organization against policies/guidelines/procedures/regulations/laws to ensure compliance.,116
T0487,Cyber Crime and Law,,,"Facilitate implementation of new or revised laws, regulations, executive orders, policies, standards, or procedures.",116
T0666,Cyber Crime and Law,,,"Develop or shape international cyber engagement strategies, policies, and activities to meet organization objectives.",117
T0110,Cyber Crime and Law,,,Identify and/or determine whether a security incident is indicative of a violation of law that requires specific legal action.,126
T0254,Cyber Crime and Law,,,Oversee policy standards and implementation strategies to ensure procedures and guidelines comply with cybersecurity policies.,126
T0054,Cyber Crime and Law,,,"Design group policies and access control lists to ensure compatibility with organizational standards, business rules, and needs.",128
T0522,Cyber Crime and Law,,,"Prepare legal and other relevant documents (e.g., depositions, briefs, affidavits, declarations, appeals, pleadings, discovery).",128
T0127,Cyber Crime and Law,,,Integrate and align information security and/or cybersecurity policies to ensure that system analysis meets security requirements.,130
T0729,Cyber Crime and Law,,,Inform external partners of the potential effects of new or revised policy and guidance on cyber operations partnering activities.,130
T0759,Cyber Crime and Law,,,"Contribute to the review and refinement of policy, to include assessments of the consequences of endorsing or not endorsing such policy.",136
T0142,Cyber Crime and Law,,,"Maintain knowledge of applicable cyber defense policies, regulations, and compliance documents specifically related to cyber defense auditing.",142
T0908,Cyber Crime and Law,,,Develop and manage procedures for vetting and auditing vendors for compliance with the privacy and data security policies and legal requirements,144
T0923,Cyber Crime and Law,,,"Cooperate with the relevant regulatory agencies and other legal entities, and organization officers, in any compliance reviews or investigations.",145
T0571,Cyber Crime and Law,,,"Apply expertise in policy and processes to facilitate the development, negotiation, and internal staffing of plans and/or memorandums of agreement.",147
T0453,Cyber Crime and Law,,,Determine and develop leads and identify sources of information to identify and/or prosecute the responsible parties to an intrusion or other crimes.,149
T0817,Cyber Crime and Law,,,Serve as a conduit of information from partner teams by identifying subject matter experts who can assist in the investigation of complex or unusual situations.,160
T0895,Cyber Crime and Law,,,"Establish a process for receiving, documenting, tracking, investigating and acting on all complaints concerning the organization’s privacy policies and procedures",162
T0894,Cyber Crime and Law,,,Develop and manage enterprise-wide procedures to ensure the development of new products and services is consistent with company privacy policies and legal obligations,166
T0384,Cyber Crime and Law,,,"Promote awareness of cyber policy and strategy as appropriate among management and ensure sound principles are reflected in the organization's mission, vision, and goals.",170
T0419,Cyber Crime and Law,,,"Acquire and maintain a working knowledge of constitutional issues which arise in relevant laws, regulations, policies, agreements, standards, procedures, or other issuances.",173
T0880,Cyber Crime and Law,,,"Develop privacy training materials and other communications to increase employee understanding of company privacy policies, data handling practices and procedures and legal obligations",184
T0906,Cyber Crime and Law,,,"Work with all organization personnel involved with any aspect of release of protected information to ensure coordination with the organization’s policies, procedures and legal requirements",188
T0369,Cyber Crime and Law,,,"Ensure that cyber workforce management policies and processes comply with legal and organizational requirements regarding equal opportunity, diversity, and fair hiring/employment practices.",189
T0913,Cyber Crime and Law,,,"Administer action on all complaints concerning the organization’s privacy policies and procedures in coordination and collaboration with other similar functions and, when necessary, legal counsel",195
T0629,Cyber Crime and Law,,,"Contribute to the development, staffing, and coordination of cyber operations policies, performance standards, plans and approval packages with appropriate internal and/or external decision makers.",197
T0922,Cyber Crime and Law,,,"Establish and administer a process for receiving, documenting, tracking, investigating and taking corrective action as appropriate on complaints concerning the company’s privacy policies and procedures.",202
T0474,Cyber Crime and Law,,,"Provide legal analysis and decisions to inspectors general, privacy officers, oversight and compliance personnel regarding compliance with cybersecurity policies and relevant legal and regulatory requirements.",209
T0370,Cyber Crime and Law,,,Ensure that appropriate Service-Level Agreements (SLAs) and underpinning contracts have been defined that clearly set out for the customer a description of the service and the measures for monitoring the service.,212
T0866,Cyber Crime and Law,,,"Maintain current knowledge of applicable federal and state privacy laws and accreditation standards, and monitor advancements in information privacy technologies to ensure organizational adaptation and compliance.",213
T0926,Cyber Crime and Law,,,"Develop or assist with the development of privacy training materials and other communications to increase employee understanding of company privacy policies, data handling practices and procedures and legal obligations.",219
T0863,Cyber Crime and Law,,,"Coordinate with the appropriate regulating bodies to ensure that programs, policies and procedures involving civil rights, civil liberties and privacy considerations are addressed in an integrated and comprehensive manner.",222
T0900,Cyber Crime and Law,,,"Provide development guidance and assist in the identification, implementation and maintenance of organization information privacy policies and procedures in coordination with organization management and administration and legal counsel",235
T0896,Cyber Crime and Law,,,"Establish with management and operations a mechanism to track access to protected health information, within the purview of the organization and as required by law and to allow qualified individuals to review or receive a report on such activity",245
T0884,Cyber Crime and Law,,,"Work with organization administration, legal counsel and other related parties to represent the organization’s information privacy interests with external parties, including government bodies, which undertake to adopt or amend privacy legislation, regulation or standard.",271
T0862,Cyber Crime and Law,,,"Work with legal counsel and management, key departments and committees to ensure the organization has and maintains appropriate privacy and confidentiality consent, authorization forms and information notices and materials reflecting current organization and legal practices and requirements.",292
T0889,Cyber Crime and Law,,,"Ensure compliance with privacy practices and consistent application of sanctions for failure to comply with privacy policies for all individuals in the organization’s workforce, extended workforce and for all business associates in cooperation with Human Resources, the information security officer, administration and legal counsel as applicable",346
T0296,Cyber Threats,,,Isolate and remove malware.,27
T0513,Cyber Threats,,,Perform operational testing.,28
T0686,Cyber Threats,,,Identify threat vulnerabilities.,32
T0717,Cyber Threats,,,Identify critical target elements.,34
T0066,Cyber Threats,,,Develop and maintain strategic plans.,37
T0778,Cyber Threats,,,Profile targets and their activities.,37
T0584,Cyber Threats,,,Maintain a common intelligence picture.,39
T0020,Cyber Threats,,,Develop content for cyber defense tools.,40
T0285,Cyber Threats,,,Perform virus scanning on digital media.,40
T0799,Cyber Threats,,,Provide time sensitive targeting support.,41
T0685,Cyber Threats,,,Evaluate threat decision-making processes.,42
T0718,Cyber Threats,,,Identify intelligence gaps and shortfalls.,42
T0708,Cyber Threats,,,"Identify threat tactics, and methodologies.",43
T0816,Cyber Threats,,,Scope the cyber intelligence planning effort.,45
T0593,Cyber Threats,,,Brief threat and/or target current situations.,46
T0687,Cyber Threats,,,Identify threats to Blue Force vulnerabilities.,47
T0509,Cyber Threats,,,Perform an information security risk assessment.,48
T0845,Cyber Threats,,,Identify cyber threat tactics and methodologies.,48
T0744,Cyber Threats,,,"Maintain target lists (i.e., RTL, JTL, CTL, etc.).",50
T0749,Cyber Threats,,,Monitor and report on validated threat activities.,50
T0781,Cyber Threats,,,Provide aim point and reengagement recommendations.,51
T0633,Cyber Threats,,,Coordinate target vetting with appropriate partners.,52
T0794,Cyber Threats,,,Provide operations and reengagement recommendations.,52
T0393,Cyber Threats,,,Validate specifications and requirements for testability.,57
T0638,Cyber Threats,,,"Coordinate, produce, and track intelligence requirements.",57
T0826,Cyber Threats,,,Synchronize cyber portions of security cooperation plans.,57
T0441,Cyber Threats,,,Define and integrate current and future mission environments.,61
T0640,Cyber Threats,,,Use intelligence estimates to counter potential target actions.,63
T0735,Cyber Threats,,,Lead and coordinate intelligence support to operational planning.,65
T0038,Cyber Threats,,,Develop threat model based on customer interviews and requirements.,67
T0589,Cyber Threats,,,Assist in the identification of intelligence collection shortfalls.,67
T0551,Cyber Threats,,,Draft and publish supply chain security and risk management documents.,70
T0728,Cyber Threats,,,Provide input to or develop courses of action based on threat factors.,70
T0742,Cyber Threats,,,Maintain situational awareness of partner capabilities and activities.,70
T0508,Cyber Threats,,,Verify minimum security requirements are in place for all applications.,71
T0575,Cyber Threats,,,Coordinate for intelligence support to operational planning activities.,71
T0659,Cyber Threats,,,Develop detailed intelligence support to cyber operations requirements.,71
T0266,Cyber Threats,,,Perform penetration testing as required for new or updated applications.,72
T0664,Cyber Threats,,,Develop new techniques for gaining and keeping access to target systems.,72
T0533,Cyber Threats,,,"Review, conduct, or participate in audits of cyber programs and projects.",73
T0556,Cyber Threats,,,Assess and design security management functions as related to cyberspace.,73
T0312,Cyber Threats,,,Coordinate with intelligence analysts to correlate threat assessment data.,74
T0525,Cyber Threats,,,Provide enterprise cybersecurity and supply chain risk management guidance.,75
T0712,Cyber Threats,,,Identify and manage security cooperation priorities with external partners.,75
T0705,Cyber Threats,,,Incorporate intelligence and counterintelligence to support plan development.,77
T0784,Cyber Threats,,,Provide cyber focused guidance and advice on intelligence support plan inputs.,78
T0672,Cyber Threats,,,"Devise, document, and validate cyber operation strategy and planning documents.",79
T0719,Cyber Threats,,,Identify cyber intelligence gaps and shortfalls for cyber operational planning.,79
T0733,Cyber Threats,,,Interpret environment preparations assessments to determine a course of action.,79
T0083,Cyber Threats,,,Draft statements of preliminary or residual security risks for system operation.,80
T0123,Cyber Threats,,,Implement specific cybersecurity countermeasures for systems and/or applications.,81
T0028,Cyber Threats,,,Conduct and/or support authorized penetration testing on enterprise network assets.,83
T0630,Cyber Threats,,,Incorporate intelligence equities into the overall design of cyber operations plans.,84
T0643,Cyber Threats,,,"Deploy tools to a target and utilize them once deployed (e.g., backdoors, sniffers).",84
T0273,Cyber Threats,,,"Develop and document supply chain risks for critical system elements, as appropriate.",85
T0710,Cyber Threats,,,"Identify and evaluate threat critical capabilities, requirements, and vulnerabilities.",86
T0679,Cyber Threats,,,Ensure operational planning efforts are effectively transitioned to current operations.,87
T0740,Cyber Threats,,,Maintain situational awareness and functionality of organic operational infrastructure.,87
T0688,Cyber Threats,,,Evaluate available capabilities against desired effects to recommend efficient solutions.,89
T0576,Cyber Threats,,,Assess all-source intelligence and recommend targets to support cyber operation objectives.,91
T0671,Cyber Threats,,,"Develop, maintain, and assess cyber cooperation security agreements with external partners.",91
T0791,Cyber Threats,,,Provide input to the administrative and logistical elements of an operational support plan.,91
T0573,Cyber Threats,,,Assess and apply operational environment factors and risks to collection management process.,92
T0579,Cyber Threats,,,Assess target vulnerabilities and/or operational capabilities to determine course of action.,92
T0669,Cyber Threats,,,"Develop strategy and processes for partner planning, operations, and capability development.",92
T0691,Cyber Threats,,,Evaluate the conditions that affect employment of available cyber intelligence capabilities.,92
T0711,Cyber Threats,,,"Identify, draft, evaluate, and prioritize relevant intelligence or information requirements.",92
T0622,Cyber Threats,,,"Develop, review and implement all levels of planning guidance in support of cyber operations.",93
T0639,Cyber Threats,,,"Coordinate, synchronize and draft applicable intelligence sections of cyber operations plans.",93
T0171,Cyber Threats,,,Perform integrated quality assurance testing for security functionality and resiliency attack.,94
T0590,Cyber Threats,,,Enable synchronization of intelligence support plans across partner organizations as required.,94
T0019,Cyber Threats,,,Assess threats to and vulnerabilities of computer system(s) to develop a security risk profile.,95
T0089,Cyber Threats,,,"Ensure that security improvement actions are evaluated, validated, and implemented as required.",95
T0783,Cyber Threats,,,Provide current intelligence support to critical internal/external stakeholders as appropriate.,95
T0801,Cyber Threats,,,"Recommend refinement, adaption, termination, and execution of operational plans as appropriate.",95
T0741,Cyber Threats,,,Maintain situational awareness of cyber-related intelligence requirements and associated tasking.,97
T0106,Cyber Threats,,,Identify alternative information security strategies to address organizational security objective.,98
T0931,Cyber Threats,,,"Identify the missions, business functions, and mission/business processes the system will support.",98
T0003,Cyber Threats,,,"Advise senior management (e.g., Chief Information Officer [CIO]) on risk levels and security posture.",101
T0360,Cyber Threats,,,Determine the extent of threats and recommend courses of action or countermeasures to mitigate risks.,101
T0411,Cyber Threats,,,Identify and/or develop reverse engineering tools to enhance capabilities and detect vulnerabilities.,101
T0709,Cyber Threats,,,Identify all available partner intelligence capabilities and limitations supporting cyber operations.,101
T0526,Cyber Threats,,,Provides cybersecurity recommendations to leadership based on significant threats and vulnerabilities.,102
T0348,Cyber Threats,,,Assist in assessing the impact of implementing and sustaining a dedicated cyber defense infrastructure.,103
T0645,Cyber Threats,,,"Determine course of action for addressing changes to objectives, guidance, and operational environment.",103
T0655,Cyber Threats,,,Develop and review specific cyber operations guidance for integration into broader planning activities.,103
T0739,Cyber Threats,,,Maintain relationships with internal and external partners involved in cyber planning or related areas.,103
T0763,Cyber Threats,,,"Conduct long-range, strategic planning efforts with internal and external partners in cyber activities.",103
T0720,Cyber Threats,,,Identify gaps in our understanding of target technology and developing innovative collection approaches.,104
T0218,Cyber Threats,,,"Recommend new or revised security, resilience, and dependability measures based on the results of reviews.",106
T0637,Cyber Threats,,,Coordinate with the intelligence planning team to assess capability to satisfy assigned intelligence tasks.,107
T0935,Cyber Threats,,,Conduct an initial risk assessment of stakeholder assets and update the risk assessment on an ongoing basis.,108
T0078,Cyber Threats,,,Develop specific cybersecurity countermeasures and risk mitigation strategies for systems and/or applications.,110
T0726,Cyber Threats,,,"Identify the need, scope, and timeframe for applicable intelligence environment preparation derived production.",111
T0158,Cyber Threats,,,Participate in an information security risk assessment during the Security Assessment and Authorization process.,112
