INDEX,TIER1 JOB,TIER2 JOB,TIER3 JOB,SKILL
A0041,Data Mining,,,"Ability to use data visualization tools (e.g., Flare, HighCharts, AmCharts, D3.js, Processing, Google Visualization API, Tableau, Raphael.js, Microsoft Power BI, Qlik Sense, Klipfolio, Looker, Zoko Analytics, Domo)."
A0042,Cybersecurity Foundations,,,Ability to develop career path opportunities.
A0043,Operating Systems,,,"Ability to conduct forensic analyses in and for both Windows and Unix, Linux environments."
A0044,Programming Languages,,,"Ability to apply programming language structures (e.g., source code review) and logic."
A0045,Cyber Threats,,,Ability to evaluate/ensure the trustworthiness of the supplier and/or product.
A0046,Cyber Crime and Law,,,"Ability to monitor and assess the potential impact of emerging technologies on laws, regulations, and/or policies."
A0047,Software Development,,,"Ability to develop secure software according to secure software deployment methodologies, tools, and practices."
A0048,Networking,,,"Ability to apply network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth, compartmentalization, least privilege, weakest link, separation and rotation of duties, heirachically trusted components and protection, mediated access, accountablility, traceability)."
A0049,Data Security,,,"Ability to apply secure system design tools, methods and techniques."
A0050,Systems Architecture,,,"Ability to apply system design tools, methods, and techniques, including automated systems analysis and design tools."
A0051,IT Management/Services,,,Ability to execute technology integration processes.
A0052,Networking,,,"Ability to operate network equipment including hubs, routers, switches, bridges, servers, transmission media, and related hardware."
A0053,Analysis,,,Ability to determine the validity of workforce trend data.
A0054,Education/Teaching,,,Ability to apply the Instructional System Design (ISD) methodology.
A0055,Networking,,,"Ability to operate common network tools (e.g., ping, traceroute, nslookup, tracecert, ipconfig, ifconfig, netstat, PuTTY, pathping, mtr, route)."
A0056,Data Security,,,Ability to ensure security practices are followed throughout the acquisition process.
A0057,Education/Teaching,,,Ability to tailor curriculum that speaks to the topic at the appropriate level for the target audience.
A0058,Operating Systems,,,"Ability to execute OS command line (e.g., ipconfig, netstat, dir, nbtstat, pinf, nslookup, traceroute, ifconfing, pathping, mtr, route)."
A0059,Networking,,,Ability to operate the organization's LAN/WAN pathways.
A0060,Systems Architecture,,,Ability to build architectures and frameworks.
A0061,Systems Architecture,,,Ability to design architectures and frameworks.
A0062,Analysis,,,Ability to monitor measures or indicators of system performance and availability.
A0063,Communication Architecture and Security,,,"Ability to operate different electronic communication systems and methods (e.g., e-mail, VOIP, Instant Messaging (IM), web forums, Direct Video Broadcasts, websites, blogs, SMS, text messaging, phone, voicemail, Video)."
A0064,Cybersecurity Foundations,Technical Writing,,Ability to interpret and translate customer requirements into operational capabilities.
A0065,Networking,,,Ability to monitor traffic flows across the network.
A0066,Data Mining,,,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
A0067,Cybersecurity Foundations,,,"Ability to adjust to and operate in a diverse, unpredictable, challenging, and fast-paced work environment."
A0068,IT Management/Services,,,Ability to apply approved planning development and staffing processes.
A0069,Cybersecurity Foundations,,,Ability to apply collaborative skills and strategies.
A0070,Cybersecurity Foundations,Technical Writing,,Ability to apply critical reading/thinking skills.
A0071,Analysis,,,Ability to apply language and cultural expertise to analysis.
A0072,Education/Teaching,,,Ability to clearly articulate intelligence requirements into well-formulated research questions and data tracking variables for inquiry tracking purposes.
A0073,Education/Teaching,,,Ability to clearly articulate intelligence requirements into well-formulated research questions and requests for information.
A0074,Cybersecurity Foundations,,,Ability to collaborate effectively with others.
A0076,Cybersecurity Foundations,,,Ability to coordinate and collaborate with analysts regarding surveillance requirements and essential information development.
A0077,Cybersecurity Foundations,,,Ability to coordinate cyber operations with other organization functions or support activities.
A0078,IT Management/Services,,,"Ability to coordinate, collaborate and disseminate information to subordinate, lateral and higher-level organizations."
A0079,Data Mining,,,Ability to correctly employ each organization or element into the collection plan and matrix.
A0080,Analysis,,,Ability to develop or recommend analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.
A0081,Cybersecurity Foundations,,,Ability to develop or recommend planning solutions to problems and situations for which no precedent exists.
A0082,Cybersecurity Foundations,,,Ability to effectively collaborate via virtual teams.
A0083,Data Mining,,,"Ability to evaluate information for reliability, validity, and relevance."
A0084,Data Mining,,,"Ability to evaluate, analyze, and synthesize large quantities of data (which may be fragmented and contradictory) into high quality, fused targeting/intelligence products."
A0085,Cyber Crime and Law,,,Ability to exercise judgment when policies are not well-defined.
A0086,Analysis,,,Ability to expand network access by conducting target analysis and collection to identify targets of interest.
A0087,Education/Teaching,,,Ability to focus research efforts to meet the customer’s decision-making needs.
A0088,Cybersecurity Foundations,,,"Ability to function effectively in a dynamic, fast-paced environment."
A0089,Cybersecurity Foundations,,,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
A0090,Cybersecurity Foundations,,,Ability to identify external partners with common cyber operations interests.
A0091,Forensics,,,Ability to identify intelligence gaps.
A0092,Cyber Threats,,,Ability to identify/describe target vulnerability.
A0093,Cyber Threats,Ethical Hacking,,Ability to identify/describe techniques/methods for conducting technical exploitation of the target.
A0094,Cyber Crime and Law,,,"Ability to interpret and apply laws, regulations, policies, and guidance relevant to organization cyber objectives."
A0095,Cybersecurity Foundations,Technical Writing,,Ability to interpret and translate customer requirements into operational action.
A0096,Cybersecurity Foundations,,,Ability to interpret and understand complex and rapidly evolving concepts.
A0097,Analysis,,,Ability to monitor system operations and react to events in response to triggers and/or observation of trends or unusual activity.
A0098,Cybersecurity Foundations,,,"Ability to participate as a member of planning teams, coordination groups, and task forces as necessary."
A0099,Networking,,,"Ability to perform network collection tactics, techniques, and procedures to include decryption capabilities/tools."
A0100,Encryption and Cryptography,,,Ability to perform wireless collection procedures to include decryption capabilities/tools.
A0101,Analysis,,,Ability to recognize and mitigate cognitive biases which may affect analysis.
A0102,Cyber Threats,,,Ability to recognize and mitigate deception in reporting and analysis.
A0103,Data Mining,,,Ability to review processed target language materials for accuracy and completeness.
A0104,Forensics,,,Ability to select the appropriate implant to achieve operational goals.
A0105,IT Management/Services,,,Ability to tailor technical and planning information to a customer’s level of understanding.
A0106,Cybersecurity Foundations,,,Ability to think critically.
A0107,Cyber Threats,,,Ability to think like threat actors.
A0108,IT Management/Services,,,Ability to understand objectives and effects.
A0109,Forensics,,,Ability to utilize multiple intelligence sources across all intelligence disciplines.
A0110,Cyber Crime and Law,,,Ability to monitor advancements in information privacy laws to ensure organizational adaptation and compliance.
A0111,Cybersecurity Foundations,,,"Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives."
A0112,Data Security,,,Ability to monitor advancements in information privacy technologies to ensure organizational adaptation and compliance.
A0113,Cyber Crime and Law,,,Ability to determine whether a security incident violates a privacy principle or legal standard requiring specific legal action.
A0114,Education/Teaching,,,Ability to develop or procure curriculum that speaks to the topic at the appropriate level for the target.
A0115,Cybersecurity Foundations,,,"Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives."
A0116,Cybersecurity Foundations,,,Ability to prioritize and allocate cybersecurity resources correctly and efficiently.
A0117,Cybersecurity Foundations,,,"Ability to relate strategy, business, and technology in the context of organizational dynamics."
A0118,IT Management/Services,,,"Ability to understand technology, management, and leadership issues related to organization processes and problem solving."
A0119,Cybersecurity Foundations,,,Ability to understand the basic concepts and issues related to cyber and its organizational impact.
A0120,Disaster Management,,,Ability to share meaningful insights about the context of an organization’s threat environment that improve its risk management posture.
A0121,Disaster Management,,,Ability to design incident response for cloud service models.
A0122,Systems Architecture,,,Ability to design capabilities to find solutions to less common and more complex system problems.
A0123,Cybersecurity Foundations,,,"Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation)."
A0124,Intrusion Detection Systems,,,Ability to establish and maintain automated security control assessments
A0125,Cyber Crime and Law,,,Ability to author a privacy disclosure statement based on current laws.
A0126,Networking,,,"Ability to track the location and configuration of networked devices and software across departments, locations, facilities and, potentially, supporting business functions."
A0127,Intrusion Detection Systems,,,Ability to deploy continuous monitoring technologies and tools.
A0128,Intrusion Detection Systems,,,Ability to apply techniques for detecting host and network-based intrusions using intrusion detection technologies.
A0129,Data Security,,,Ability to ensure information security management processes are integrated with strategic and operational planning processes.
A0130,Data Security,,,Ability to ensure that senior officials within the organization provide information security for the information and systems that support the operations and assets under their control.
A0131,Cyber Crime and Law,,,"Ability to ensure the organization has adequately trained personnel to assist in complying with security requirements in legislation, Executive Orders, policies, directives, instructions, standards, and guidelines."
A0132,Disaster Management,,,"Ability to coordinate with senior leadership of an organization to provide a comprehensive, organization-wide, holistic approach for addressing risk—an approach that provides a greater understanding of the integrated operations of the organization."
A0133,Disaster Management,,,Ability to coordinate with senior leadership of an organization to develop a risk management strategy for the organization providing a strategic view of security-related risks for the organization.
A0134,Disaster Management,,,Ability to coordinate with senior leadership of an organization to facilitate the sharing of risk related information among authorizing officials and other senior leaders within the organization.
A0135,Disaster Management,,,Ability to coordinate with senior leadership of an organization to provide oversight for all risk management-related activities across the organization to help ensure consistent and effective risk acceptance decisions.
A0136,IT Management/Services,,,Ability to coordinate with senior leadership of an organization to ensure that authorization decisions consider all factors necessary for mission and business success.
A0137,Disaster Management,,,"Ability to coordinate with senior leadership of an organization to provide an organization wide forum to consider all sources of risk (including aggregated risk) to organizational operations and assets, individuals, other organizations, and the Nation."
A0138,IT Management/Services,,,Ability to coordinate with senior leadership of an organization to promote cooperation and collaboration among authorizing officials to include authorization actions requiring shared responsibility.
A0139,IT Management/Services,,,"Ability to coordinate with senior leadership of an organization to ensure that the shared responsibility for supporting organizational mission/business functions using external providers of systems, services, and applications receives the needed visibility and is elevated to the appropriate decision-making authorities."
A0140,Disaster Management,,,Ability to coordinate with senior leadership of an organization to identify the organizational risk posture based on the aggregated risk from the operation and use of the systems for which the organization is responsible.
A0141,Data Security,,,Ability to work closely with authorizing officials and their designated representatives to help ensure that an organization-wide security program is effectively implemented resulting in adequate security for all organizational systems and environments of operation.
A0142,Software Development,,,"Ability to work closely with authorizing officials and their designated representatives to help ensure that security considerations are integrated into programming/planning/budgeting cycles, enterprise architectures, and acquisition/system development life cycles."
A0143,Data Security,,,Ability to work closely with authorizing officials and their designated representatives to help ensure that organizational systems and common controls are covered by approved security plans and possess current authorizations.
A0144,Data Security,,,"Ability to work closely with authorizing officials and their designated representatives to help ensure that security-related activities required across the organization are accomplished in an efficient, cost-effective, and timely manner."
A0145,Data Security,,,Ability to work closely with authorizing officials and their designated representatives to help ensure that there is centralized reporting of security-related activities.
A0146,Data Security,,,Ability to establish the rules for appropriate use and protection of the information and retains that responsibility even when the information is shared with or provided to other organizations.
A0147,IT Management/Services,,,"Ability to approve security plans, memorandums of agreement or understanding, plans of action and milestones, and determine whether significant changes in the systems or environments of operation require reauthorization."
A0148,Systems Architecture,,,"Ability to serve as the primary liaison between the enterprise architect and the systems security engineer and coordinates with system owners, common control providers, and system security officers on the allocation of security controls as system-specific, hybrid, or common controls."
A0149,Disaster Management,,,"Ability, in close coordination with system security officers, advise authorizing officials, chief information officers, senior information security officers, and the senior accountable official for risk management/risk executive (function), on a range of security-related issues (e.g. establishing system boundaries; assessing the severity of weaknesses and deficiencies in the system; plans of action and milestones; risk mitigation approaches; security alerts; and potential adverse effects of identified vulnerabilities)."
A0150,Systems Architecture,,,Ability to conduct systems security engineering activities (NIST SP 800-16).
A0151,Cybersecurity Foundations,,,"Ability to capture and refine security requirements and ensure that the requirements are effectively integrated into the component products and systems through purposeful security architecting, design, development, and configuration."
A0152,Data Security,,,"Ability to employ best practices when implementing security controls within a system including software engineering methodologies; system and security engineering principles; secure design, secure architecture, and secure coding techniques."
A0153,Systems Architecture,,,"Ability to coordinate their security-related activities with security architects, senior information security officers, system owners, common control providers, and system security officers."
A0154,Cybersecurity Foundations,,,"Ability to conduct a comprehensive assessment of the management, operational, and technical security controls and control enhancements employed within or inherited by a system to determine the effectiveness of the controls (i.e., the extent to which the security controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting the security requirements for the system)."
A0155,Disaster Management,,,Ability to provide an assessment of the severity of weaknesses or deficiencies discovered in the system and its environment of operation and recommend corrective actions to address identified vulnerabilities.
A0156,Cybersecurity Foundations,,,Ability to prepare the final security assessment report containing the results and findings from the assessment.
A0157,Cyber Threats,,,Ability to assesses a security plan to help ensure that the plan provides a set of security controls for the system that meet the stated security requirements.
A0158,Software Development,,,Ability to ensure that functional and security requirements are appropriately addressed in a contract and that the contractor meets the functional and security requirements as stated in the contract.
A0159,Analysis,,,"Ability to interpret the information collected by network tools (e.g. Nslookup, Ping, and Traceroute, Tracecert, Ipconfig, Ifconfig, Netstat, Pathping, mtr, route)."
A0160,Forensics,,,"Ability to translate, track, and prioritize information needs and intelligence collection requirements across the extended enterprise."
A0161,Data Security,,,"Ability to integrate information security requirements into the acquisition process; using applicable baseline security controls as one of the sources for security requirements; ensuring a robust software quality control process; and establishing multiple sources (e.g., delivery routes, for critical system elements)."
A0162,Communication Architecture and Security,,,Ability to recognize the unique aspects of the Communications Security (COMSEC) environment and hierarchy.
A0162,Data Security,,,"Ability to ensure information system security, acquisition personnel, legal counsel, and other appropriate advisors and stakeholders are participating in decision making from system concept definition/review and are involved in, or approve of, each milestone decision through the entire system life cycle for systems."
A0163,Communication Architecture and Security,,,"Ability to interpret Communications Security (COMSEC) terminology, guidelines and procedures."
A0164,Communication Architecture and Security,,,Ability to identify the roles and responsibilities for appointed Communications Security (COMSEC) personnel.
A0165,Communication Architecture and Security,,,"Ability to manage Communications Security (COMSEC) material accounting, control and use procedure."
A0166,Communication Architecture and Security,,,Ability to identify types of Communications Security (COMSEC) Incidents and how they’re reported
A0167,Communication Architecture and Security,,,Ability to recognize the importance of auditing Communications Security (COMSEC) material and accounts.
A0168,Communication Architecture and Security,,,Ability to Identify the requirements of In-Process accounting for Communications Security (COMSEC)
A0170,Systems Architecture,,,Ability to identify critical infrastructure systems with information communication technology that were designed without system security considerations.
A0171,Education/Teaching,,,Ability to conduct training and education needs assessment.
A0172,Networking,,,Ability to set up a physical or logical sub-networks that separates an internal local area network (LAN) from other untrusted networks.
A0173,Disaster Management,,,Ability to recognize that changes to systems or environment can change residual risks in relation to risk appetite.
A0174,Cyber Threats,Ethical Hacking,,Ability to Find and navigate the dark web using the TOR network to locate markets and forums.
A0175,Operating Systems,,,Ability to examine digital media on multiple operating system platforms.
A0176,Database Systems,,,"Ability to maintain databases. (i.e., backup, restore, delete data, transaction log files, file/data compaction, integrity check, etc.)."
